snr_db,f0,f1,frequency_pair,folder,messages_found,messages_expected,passed
2,15000.0,16000.0,15000-16000,15000-16000_speaker,16,16,True
2,2000.0,3000.0,2000-3000,2000-3000_speaker,16,16,True
2,22068.0,23132.0,22068-23132,22068-23132_speaker,17,16,False
2,7007.0,8000.0,7007-8000,7007-8000_speaker,16,16,True
1,15000.0,16000.0,15000-16000,15000-16000_speaker,16,16,True
1,2000.0,3000.0,2000-3000,2000-3000_speaker,11,16,False
1,22068.0,23132.0,22068-23132,22068-23132_speaker,16,16,True
1,7007.0,8000.0,7007-8000,7007-8000_speaker,16,16,True
0,15000.0,16000.0,15000-16000,15000-16000_speaker,16,16,True
0,2000.0,3000.0,2000-3000,2000-3000_speaker,16,16,True
0,22068.0,23132.0,22068-23132,22068-23132_speaker,16,16,True
0,7007.0,8000.0,7007-8000,7007-8000_speaker,16,16,True
-1,15000.0,16000.0,15000-16000,15000-16000_speaker,16,16,True
-1,2000.0,3000.0,2000-3000,2000-3000_speaker,16,16,True
-1,22068.0,23132.0,22068-23132,22068-23132_speaker,16,16,True
-1,7007.0,8000.0,7007-8000,7007-8000_speaker,14,16,False
-2,15000.0,16000.0,15000-16000,15000-16000_speaker,16,16,True
-2,2000.0,3000.0,2000-3000,2000-3000_speaker,16,16,True
-2,22068.0,23132.0,22068-23132,22068-23132_speaker,8,16,False
-2,7007.0,8000.0,7007-8000,7007-8000_speaker,15,16,False
-3,15000.0,16000.0,15000-16000,15000-16000_speaker,16,16,True
-3,2000.0,3000.0,2000-3000,2000-3000_speaker,7,16,False
-3,22068.0,23132.0,22068-23132,22068-23132_speaker,1,16,False
-3,7007.0,8000.0,7007-8000,7007-8000_speaker,16,16,True
-4,15000.0,16000.0,15000-16000,15000-16000_speaker,16,16,True
-4,2000.0,3000.0,2000-3000,2000-3000_speaker,5,16,False
-4,22068.0,23132.0,22068-23132,22068-23132_speaker,0,16,False
-4,7007.0,8000.0,7007-8000,7007-8000_speaker,14,16,False
-5,15000.0,16000.0,15000-16000,15000-16000_speaker,14,16,False
-5,2000.0,3000.0,2000-3000,2000-3000_speaker,0,16,False
-5,22068.0,23132.0,22068-23132,22068-23132_speaker,0,16,False
-5,7007.0,8000.0,7007-8000,7007-8000_speaker,12,16,False
-6,15000.0,16000.0,15000-16000,15000-16000_speaker,15,16,False
-6,2000.0,3000.0,2000-3000,2000-3000_speaker,0,16,False
-6,22068.0,23132.0,22068-23132,22068-23132_speaker,0,16,False
-6,7007.0,8000.0,7007-8000,7007-8000_speaker,5,16,False
-8,15000.0,16000.0,15000-16000,15000-16000_speaker,11,16,False
-8,2000.0,3000.0,2000-3000,2000-3000_speaker,0,16,False
-8,22068.0,23132.0,22068-23132,22068-23132_speaker,0,16,False
-8,7007.0,8000.0,7007-8000,7007-8000_speaker,0,16,False
