snr_db,f0,f1,frequency_pair,folder,messages_found,messages_expected,passed
6.0,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
6.0,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
6.0,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
6.0,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
5.7,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
5.7,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
5.7,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
5.7,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
5.4,15000.0,16000.0,15000-16000,15000-16000_speaker,124,125,False
5.4,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
5.4,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
5.4,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
5.1000000000000005,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
5.1000000000000005,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
5.1000000000000005,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
5.1000000000000005,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
4.800000000000001,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
4.800000000000001,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
4.800000000000001,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
4.800000000000001,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
4.500000000000001,15000.0,16000.0,15000-16000,15000-16000_speaker,124,125,False
4.500000000000001,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
4.500000000000001,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
4.500000000000001,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
4.200000000000001,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
4.200000000000001,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
4.200000000000001,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
4.200000000000001,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
3.9000000000000012,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
3.9000000000000012,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
3.9000000000000012,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
3.9000000000000012,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
3.6000000000000014,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
3.6000000000000014,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
3.6000000000000014,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
3.6000000000000014,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
3.3000000000000016,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
3.3000000000000016,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
3.3000000000000016,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
3.3000000000000016,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
3.0000000000000018,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
3.0000000000000018,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
3.0000000000000018,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
3.0000000000000018,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
2.700000000000002,15000.0,16000.0,15000-16000,15000-16000_speaker,124,125,False
2.700000000000002,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
2.700000000000002,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
2.700000000000002,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
2.400000000000002,15000.0,16000.0,15000-16000,15000-16000_speaker,124,125,False
